"id","repository","sha","message","date","insertions","deletions","files_changed","in_main_branch","merge","dmm_unit_size","dmm_unit_complexity","dmm_unit_interfacing","time_mined","author_id","committer_id"
"16","aisepucrio/stnl-dataminer-api","340477e805d4f7296c2a89140855e2689af1803d","feat: Criação do App Jira

JIRA: [CSTONE-271][CSTONE-289]","2024-08-26 14:49:37+00",15,0,6,True,False,NULL,NULL,NULL,"2025-03-24 14:07:26.989368+00","5","5"
"17","aisepucrio/stnl-dataminer-api","50950ae5800ccb6aa898aa164bdf9d4b1760d884","feat: Refatoração do Rust

 JIRA: [CSTONE-271][CSTONE-286]","2024-08-26 15:05:39+00",1,0,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:27.222177+00","3","3"
"18","aisepucrio/stnl-dataminer-api","bb88b4457ca03c77bd2cb2d676cb50e7f26bda9a","feat: Refatoração do Rust

 JIRA: [CSTONE-271][CSTONE-286]","2024-08-26 15:06:58+00",2,0,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:27.313203+00","3","3"
"19","aisepucrio/stnl-dataminer-api","36291e11563502ec8854f6cff906882c2a8fdc2e","feat: Começando a aplicar o celery no projeto

JIRA: [CSTONE-271][CSTONE-274]","2024-08-26 16:25:44+00",290,255,6,True,False,"0","0","0","2025-03-24 14:07:27.416063+00","4","4"
"20","aisepucrio/stnl-dataminer-api","0670487c9d604d89dd893d8d351493f66d2d7c22","Merge branch 'dev-breno' of github.com:aisepucrio/stnl-dataminer-api into dev-breno","2024-08-26 16:25:53+00",15,0,0,True,True,NULL,NULL,NULL,"2025-03-24 14:07:28.137686+00","4","4"
"21","aisepucrio/stnl-dataminer-api","a7b8f815d6f561bc42ea85c9765f5eca37604a74","Merge branch 'development' of github.com:aisepucrio/stnl-dataminer-api into development","2024-08-26 16:31:08+00",3595,2,0,True,True,NULL,NULL,NULL,"2025-03-24 14:07:28.175873+00","4","4"
"22","aisepucrio/stnl-dataminer-api","e8985f597b581100ae3ae5efeab64966d53380b4","fix: Consertando o problema do servidor do Redis não iniciar

JIRA: [CSTONE-271][CSTONE-274]","2024-08-26 17:46:45+00",91,23,6,True,False,"0","1","0.6170212765957447","2025-03-24 14:07:28.239545+00","4","4"
"23","aisepucrio/stnl-dataminer-api","699bd04bd38bce8eac3440ae8fd95b6e64e4da85","fix: Algumas correções

JIRA: [CSTONE-271][CSTONE-274]","2024-08-26 18:00:40+00",3,1,2,True,False,NULL,NULL,NULL,"2025-03-24 14:07:28.77257+00","4","4"
"24","aisepucrio/stnl-dataminer-api","1d20ced5872bc0a5ae63ac80bf44b541b2be3cfe","feat: Criação dos modelos para as credenciais da API do Jira de um usuário e para as issues.

JIRA: [CSTONE-271][CSTONE-289]","2024-08-27 21:30:10+00",27,1,1,True,False,"1","1","1","2025-03-24 14:07:28.994413+00","5","5"
"25","aisepucrio/stnl-dataminer-api","729c0e372bbbc3b9e52b6d208046a7c186600107","feat: Criação das views de mineração de novas issues e de consulta de issues já mineradas e criação das URLs relacionadas às views criadas.

JIRA: [CSTONE-271][CSTONE-291]","2024-08-27 21:32:33+00",38,2,2,True,False,"1","1","0","2025-03-24 14:07:29.155697+00","5","5"
"26","aisepucrio/stnl-dataminer-api","03b2d15909f73f98ade49dbead5ad5df0b329e00","fix: Adição dos apps jira e features no arquivo settings.py no projeto Django.

JIRA: [CSTONE-271][CSTONE-291]","2024-08-27 21:34:02+00",2,0,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:29.335996+00","5","5"
"27","aisepucrio/stnl-dataminer-api","dabf8ffb997e67fa5d17f031b0ed6b42bbd6dd4d","feat: Criação do serializer do app do Jira.

JIRA: [CSTONE-271][CSTONE-291]","2024-08-27 21:37:21+00",7,0,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:29.50126+00","5","5"
"28","aisepucrio/stnl-dataminer-api","61e822fc50fe117edbf27a55751cc2c05d35d0d7","feat: Criação das tasks de mineração de issues e de coleta dos tipos de issues que existem em um projeto.

JIRA: [CSTONE-271][CSTONE-294]","2024-09-02 20:05:12+00",77,0,1,True,False,"0","0.3333333333333333","0","2025-03-24 14:07:29.616121+00","5","5"
"29","aisepucrio/stnl-dataminer-api","d8854ff424a191e46606a02cec7e9e573d34f041","ref: Remoção da classe de credenciais do Jira, de modo que as credenciais serão recebidas na requisição.

JIRA: [CSTONE-271][CSTONE-291]","2024-09-02 20:07:06+00",10,7,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:29.739581+00","5","5"
"30","aisepucrio/stnl-dataminer-api","7cc7aaad2a78aa43bb229888b3a92b75f8554d3a","feat: Criação das urls referentes às views de mineração de consulta.

JIRA: [CSTONE-271][CSTONE-291]","2024-09-02 20:08:18+00",6,4,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:29.868935+00","5","5"
"31","aisepucrio/stnl-dataminer-api","3dd99981e0e8c50a44dee2fea98b563e28ec8326","feat: Criação das views de coleta dos tipos de issues de um projeto, de mineração de issues e de deleção de issues do banco.","2024-09-02 20:09:06+00",40,7,1,True,False,"1","1","0","2025-03-24 14:07:29.987869+00","5","5"
"32","aisepucrio/stnl-dataminer-api","952022573127b3d3b78fb551ca8a74face90895d","fix: Adaptação do código para o caso de não receber os tipos de issue e as datas na requisição de mineração.

JIRA: [CSTONE-271][CSTONE-294]","2024-09-03 13:23:26+00",30,15,1,True,False,"0","0","0","2025-03-24 14:07:30.135914+00","5","5"
"33","aisepucrio/stnl-dataminer-api","df45536ac7b49a60364566dac4ec3525a3a955c1","Pequenas alterações","2024-09-03 13:25:42+00",4,4,2,True,False,NULL,NULL,NULL,"2025-03-24 14:07:30.267772+00","5","5"
"34","aisepucrio/stnl-dataminer-api","c80948d98dd7f884a7c77b8d56400ae583b69254","feat:add docker","2024-09-03 18:13:02+00",561,5,15,True,False,NULL,NULL,NULL,"2025-03-24 14:07:30.461259+00","6","6"
"35","aisepucrio/stnl-dataminer-api","8745f1c977e4384689d0591b2e116cdd276f0b96","Merge branch 'dev-diogo' into dev-breno-diogo","2024-09-03 18:22:15+00",562,2,0,True,True,NULL,NULL,NULL,"2025-03-24 14:07:30.803451+00","4","4"
"36","aisepucrio/stnl-dataminer-api","3132b5bac88fb657dcb3bc04d4fb1c2f37c24538","add comments","2024-09-04 11:12:52+00",451,12,25,True,False,"1","1","1","2025-03-24 14:07:30.850253+00","6","6"
"37","aisepucrio/stnl-dataminer-api","bd35697d093c78e50aec3de94b7e682b9145d1bd","solve redis-docker problem","2024-09-04 17:07:40+00",768,7,18,True,False,NULL,NULL,NULL,"2025-03-24 14:07:31.577976+00","6","6"
"38","aisepucrio/stnl-dataminer-api","45bc77b0f69933c16eb1a878dbc14d377f9b900e","Feat: Configuração de todo o banco de dados e implementação do código em Rust como biblioteca python

JIRA: [CSTONE-271][CSTONE-302]","2024-09-04 19:30:13+00",586,260,18,True,False,"1","1","1","2025-03-24 14:07:31.929505+00","3","3"
"39","aisepucrio/stnl-dataminer-api","dde1afd6dd26ab7080cf2523729813b136f82eb9","Feat: Merge dev-lucas

JIRA: [CSTONE-271][CSTONE-302]","2024-09-04 19:39:13+00",588,260,0,True,True,NULL,NULL,NULL,"2025-03-24 14:07:32.914971+00","3","3"
