"id","repository","name","sha","time_mined"
"1","repository","development","39c29f7608043e2e94ff67e6abf1d663cee31584","2025-03-24 14:11:39.940774+00"
"2","repository","main","e745b216b7e545a5d6854d487fd5ec0a1bfcfa0d","2025-03-24 14:11:40.021219+00"
